contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME147164_1,GUT_GENOME147164_00040,43230,0.05523370480730908,0.04704323898344045,0.047241334073831895,0.0017286848933957416,0.20835621673839694,0.045962501464356015,0.22971918830392019,0.008190465823868634,-0.27080203873161157,0.00127883260947588,0.04236687224031695,0.07512869604462459,0.9631324400590305,False
GUT_GENOME147164_1,GUT_GENOME147164_00040,43347,0.055922989732282366,0.04693713215625066,0.04716501008895656,0.001713428220553019,0.18742273553880723,0.04592978832656784,0.2354834820361209,0.008985857576031708,-0.18935593936525302,0.0012352217623887163,0.038152339717691025,0.03731127279883148,0.9815173028846954,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43795,0.055805103404499005,0.04703135610812691,0.047300854544304945,0.0017357765216951461,0.19081835467704317,0.045855474511829024,0.20250714729692781,0.008773747296372099,-0.21107549437296041,0.0014453800324759208,0.05846193981353564,0.04797066273155111,0.976300030640918,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43808,0.05666580289681731,0.046686212414108696,0.04698448835261073,0.0016651898965677379,0.16253742298997825,0.045846314762280814,0.24714238422424456,0.009979590482708613,-0.08760020850593463,0.0011381735903299162,0.02877364829751,0.008501719366632021,0.9957581624322646,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43810,0.0564510132450055,0.046744281402958915,0.047039613273997014,0.0016116603667266092,0.17251395860807,0.045836511358214496,0.22768319313112018,0.009706731842046588,-0.11554024170327717,0.0012031019157825174,0.03504829228029498,0.014577930244616696,0.9927375349588231,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43811,0.05626678917893047,0.04509960679748634,0.04542909867889075,0.0014513672597670504,0.13625355714783227,0.04583924116468335,0.6112545881713267,0.011167182381444131,0.03400619177172952,-0.0004101424857926028,-0.12085491647401851,0.015762331914757635,0.9921498090046915,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43874,0.056760455727101304,0.044623717781088576,0.04499358862761181,0.0014226873999169803,0.11807089983057234,0.045724242116824014,0.6962246344337806,0.012136737946012728,0.13328622408072663,-0.0007306534892122032,-0.1518289547693894,0.040817249036062965,0.979798221919,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43910,0.05411781327132446,0.044029172023254355,0.04430771798871519,0.0013317614645740352,0.14980587335655676,0.0457079198518873,0.8534604494886846,0.010088641248070102,-0.07643368654055686,-0.0014002018631721139,-0.21653380656659085,0.05272899782439788,0.9739800102454218,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43921,0.054456758670877514,0.04404582417498789,0.044326502283333145,0.001350608198514675,0.14291593335417335,0.0456341644137336,0.83352835748625,0.010410934495889625,-0.04343167487067281,-0.0013076621304004554,-0.20759080867843333,0.04498025422983774,0.9777608904665919,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,43969,0.05395432518173978,0.044324886869463925,0.04455916382874404,0.001412012832404489,0.1603589964071197,0.04550931072209639,0.7494953230598169,0.009629438312275855,-0.12345490323825506,-0.0009501468933523494,-0.17304069799468436,0.045184196296054475,0.9776611922617089,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,44026,0.054090336136692035,0.04443427998780897,0.04464060402622227,0.0014269909131037562,0.1564776678013846,0.04551574878351598,0.7301543390755426,0.009656056148883069,-0.12072930423709248,-0.0008751447572937152,-0.16579252551471052,0.042062726418118375,0.9791882536019588,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,44045,0.05454766542216923,0.043998297259396954,0.0442259404246228,0.0013279289191025724,0.1416684434392605,0.04548771660283599,0.8289904952243127,0.010549368162772278,-0.029256418265469337,-0.0012617761782131864,-0.2031564110287297,0.042128465351798254,0.9791560687350797,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,44078,0.05473241694466933,0.043745662460447116,0.043985159947808966,0.001305667836472649,0.1315473962535363,0.04546966214510338,0.872224112134214,0.010986754484222212,0.015530832421276185,-0.0014845021972944156,-0.22468055269873022,0.050722557516704646,0.9749576169165085,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,44086,0.055307582511616306,0.04404316126995717,0.044281294194472326,0.0012890334281418013,0.12636716598517006,0.04548690339492051,0.8251783930590031,0.011264421241659134,0.04396320458938172,-0.0012056092004481822,-0.19772845972076505,0.041029307141314045,0.9796943403490952,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,44110,0.05552406566872633,0.044179363003932964,0.044416646281387716,0.0012536599482386242,0.12693408398274847,0.045382505594786134,0.7794780600927287,0.011344702664793364,0.05218381883145981,-0.0009658593133984178,-0.1745591391559157,0.03319404401068896,0.9835399497430989,False
GUT_GENOME147164_1,GUT_GENOME147164_00041,44119,0.053309196185340274,0.044666956975140164,0.04485191052167608,0.0012314742052012544,0.18118225273767968,0.045389659610387344,0.668825022922408,0.00864223921020011,-0.22454158906744934,-0.0005377490887112646,-0.1331867608206239,0.06815763847882536,0.9664953232089937,False
